cart_id,user_id,created_at
1,1,2024-08-09 13:23:14.150916
2,2,2024-01-11 18:07:58.137259
3,3,2024-01-31 18:32:58.648849
4,4,2024-02-28 23:32:08.161243
5,5,2023-10-20 07:37:32.502412
6,6,2024-03-21 01:37:08.591105
7,7,2023-10-27 12:58:10.151325
8,8,2024-07-30 22:25:58.453989
9,9,2024-07-27 05:18:09.354140
10,10,2024-08-05 03:55:44.242891
11,11,2024-08-31 14:42:20.905159
12,12,2024-08-13 11:21:01.931112
13,13,2023-12-19 13:10:41.996037
14,14,2024-06-09 04:32:21.237459
15,15,2024-06-19 00:28:38.706300
16,16,2024-06-04 14:12:35.331004
17,17,2024-08-14 17:12:52.952183
18,18,2024-02-03 14:45:59.870046
19,19,2023-10-25 04:50:26.673633
20,20,2023-12-13 10:23:56.479425
21,21,2023-12-02 02:26:01.806792
22,22,2024-06-22 06:18:03.294295
23,23,2024-03-28 04:14:54.959964
24,24,2024-01-13 08:03:39.866648
25,25,2023-11-05 04:03:36.333006
26,26,2023-10-24 11:17:10.170625
27,27,2024-09-26 16:45:33.330173
28,28,2024-05-23 13:06:39.081550
29,29,2024-03-03 15:00:32.947682
30,30,2024-09-09 15:29:25.623242
31,31,2024-08-14 19:12:29.058503
32,32,2024-01-05 09:35:02.287639
33,33,2024-06-17 05:16:24.166855
34,34,2024-02-18 08:09:53.249455
35,35,2024-02-21 03:44:12.619706
36,36,2024-03-14 09:45:55.388374
37,37,2023-11-11 10:15:27.998249
38,38,2024-01-09 08:19:04.583615
39,39,2024-04-29 22:36:41.987372
40,40,2024-04-25 20:40:24.513275
41,41,2024-01-18 07:28:52.192146
42,42,2024-07-04 09:31:04.283997
43,43,2024-04-21 13:25:25.594907
44,44,2024-01-09 12:09:35.690112
45,45,2024-08-04 11:13:47.504746
46,46,2024-05-12 13:30:36.857730
47,47,2023-10-22 06:08:57.056482
48,48,2024-09-05 21:57:27.182132
49,49,2024-02-24 09:27:40.321594
50,50,2024-08-17 14:56:03.224788
51,51,2024-03-14 00:43:41.219807
52,52,2024-07-18 03:52:39.090226
53,53,2024-04-08 06:04:53.838737
54,54,2023-12-11 00:28:54.462772
55,55,2024-07-07 19:46:05.256448
56,56,2024-05-22 23:39:52.049229
57,57,2024-04-01 02:34:15.590123
58,58,2023-10-22 20:21:56.882208
59,59,2024-04-11 19:57:58.873564
60,60,2024-02-22 16:43:29.008563
61,61,2024-02-03 14:54:54.454232
62,62,2024-02-04 11:38:00.975261
63,63,2023-12-24 10:02:55.058966
64,64,2024-07-30 21:38:06.078812
65,65,2024-09-26 10:39:43.947157
66,66,2024-08-25 10:07:04.913576
67,67,2024-02-19 18:53:07.986919
68,68,2024-03-03 10:40:34.274479
69,69,2023-12-11 23:58:10.132797
70,70,2024-01-21 19:06:15.633310
71,71,2023-10-28 07:19:15.276969
72,72,2024-02-12 23:07:16.576272
73,73,2024-02-26 12:43:20.344532
74,74,2024-03-18 08:44:11.418735
75,75,2024-04-22 13:38:14.956948
76,76,2024-02-08 22:01:02.868751
77,77,2024-02-10 02:11:46.625852
78,78,2024-01-21 07:16:41.499975
79,79,2024-06-06 07:29:01.425606
80,80,2024-01-27 21:14:57.011742
81,81,2023-10-23 13:52:39.025000
82,82,2024-07-11 06:57:27.405747
83,83,2024-03-30 22:24:08.140846
84,84,2023-11-17 03:16:53.742274
85,85,2024-09-02 12:52:45.044632
86,86,2024-04-25 03:19:23.383001
